iter	Passed	Remaining
0	3	3401
1	6	3425
2	10	3339
3	13	3286
4	16	3251
5	19	3158
6	21	2984
7	24	3006
8	27	3017
9	30	2979
10	33	2998
11	36	3002
12	39	3004
13	42	3011
14	45	3011
15	48	2989
16	51	2967
17	54	2997
18	58	3018
19	61	3022
20	64	3022
21	68	3029
22	71	3027
23	74	3021
24	77	3005
25	79	2995
26	82	2972
27	85	2966
28	89	2987
29	92	3006
30	96	3023
31	100	3037
32	103	3031
33	106	3028
34	109	3015
35	112	3001
36	114	2989
37	117	2977
38	120	2965
39	123	2958
40	125	2946
41	128	2936
42	131	2924
43	134	2932
44	138	2930
45	140	2922
46	143	2913
47	146	2904
48	149	2894
49	151	2876
50	154	2869
51	157	2865
52	160	2862
53	162	2854
54	165	2850
55	168	2845
56	172	2857
57	176	2862
58	180	2876
59	183	2875
60	186	2870
61	189	2870
62	192	2866
63	195	2859
64	197	2841
65	200	2842
66	204	2843
67	206	2836
68	210	2834
69	212	2828
70	215	2815
71	218	2809
72	220	2804
73	224	2808
74	227	2806
75	230	2804
76	233	2802
77	236	2797
78	239	2795
79	242	2793
80	246	2793
81	249	2793
82	253	2796
83	257	2806
84	261	2812
85	265	2820
86	269	2828
87	273	2835
88	277	2842
89	281	2847
90	287	2873
91	292	2884
92	297	2902
93	303	2928
94	308	2939
95	313	2953
96	318	2968
97	322	2968
98	327	2978
99	331	2981
100	335	2988
101	341	3007
102	347	3024
103	351	3031
104	357	3046
105	363	3064
106	369	3082
107	375	3103
108	381	3120
109	387	3136
110	392	3140
111	396	3143
112	402	3160
113	409	3182
114	414	3190
115	419	3195
116	424	3200
117	427	3197
118	432	3199
119	438	3212
120	442	3214
121	448	3224
122	455	3245
123	461	3256
124	468	3277
125	475	3297
126	480	3302
127	485	3310
128	490	3314
129	498	3333
130	504	3345
131	508	3346
132	514	3350
133	518	3350
134	522	3349
135	527	3352
136	533	3362
137	539	3370
138	545	3379
139	551	3390
140	558	3402
141	565	3415
142	571	3427
143	576	3428
144	583	3439
145	591	3457
146	598	3473
147	604	3477
148	609	3482
149	613	3476
150	620	3491
151	627	3501
152	633	3507
153	641	3521
154	648	3535
155	656	3549
156	664	3566
157	671	3580
158	679	3593
159	687	3607
160	694	3619
161	701	3627
162	708	3635
163	714	3640
164	719	3641
165	724	3638
166	729	3640
167	734	3639
168	740	3643
169	747	3647
170	753	3653
171	760	3662
172	768	3672
173	775	3682
174	784	3696
175	791	3705
176	798	3713
177	804	3717
178	809	3712
179	817	3723
